X_Axis,Time,Sigma_X_Axis,Sigma_Time
0.02361,3.14000,0.00310,0.01000
0.07267,3.15000,0.00310,0.01000
0.12353,3.16000,0.00310,0.01000
0.17088,3.17000,0.00310,0.01000
0.22148,3.18000,0.00310,0.01000
0.26960,3.19000,0.00310,0.01000
0.31835,3.20000,0.00310,0.01000
0.36776,3.21000,0.00310,0.01000
0.41383,3.22000,0.00310,0.01000
0.46105,3.23000,0.00310,0.01000
0.50744,3.24000,0.00310,0.01000
0.55491,3.25000,0.00310,0.01000
0.60357,3.26000,0.00310,0.01000
0.65099,3.27000,0.00310,0.01000
0.69813,3.28000,0.00310,0.01000
0.74626,3.29000,0.00310,0.01000
0.79101,3.30000,0.00310,0.01000
0.83943,3.31000,0.00310,0.01000
0.88558,3.32000,0.00310,0.01000
0.93396,3.33000,0.00310,0.01000
0.97960,3.34000,0.00310,0.01000
1.02376,3.35000,0.00310,0.01000
1.07380,3.36000,0.00310,0.01000
1.11853,3.37000,0.00310,0.01000
1.16740,3.38000,0.00310,0.01000
1.21435,3.39000,0.00310,0.01000
1.25675,3.40000,0.00310,0.01000
1.30585,3.41000,0.00310,0.01000
1.35256,3.42000,0.00310,0.01000
1.39352,3.43000,0.00310,0.01000
1.44445,3.44000,0.00310,0.01000
1.48944,3.45000,0.00310,0.01000
1.53673,3.46000,0.00310,0.01000
1.58617,3.47000,0.00310,0.01000
1.61834,3.48000,0.00310,0.01000
1.66536,3.49000,0.00310,0.01000
1.71095,3.50000,0.00310,0.01000
1.75136,3.51000,0.00310,0.01000
1.78942,3.52000,0.00310,0.01000
1.83320,3.53000,0.00310,0.01000
1.88735,3.54000,0.00310,0.01000
1.93107,3.55000,0.00310,0.01000
1.97221,3.56000,0.00310,0.01000
2.01512,3.57000,0.00310,0.01000
2.05995,3.58000,0.00310,0.01000
2.10167,3.59000,0.00310,0.01000
2.13945,3.60000,0.00310,0.01000
2.18470,3.61000,0.00310,0.01000
2.22582,3.62000,0.00310,0.01000
2.25647,3.63000,0.00310,0.01000
2.30072,3.64000,0.00310,0.01000
2.34038,3.65000,0.00310,0.01000
2.38860,3.66000,0.00310,0.01000
2.42477,3.67000,0.00310,0.01000
2.45441,3.68000,0.00310,0.01000
2.50082,3.69000,0.00310,0.01000
2.53333,3.70000,0.00310,0.01000
2.57474,3.71000,0.00310,0.01000
2.61848,3.72000,0.00310,0.01000
2.66422,3.73000,0.00310,0.01000
2.70203,3.74000,0.00310,0.01000
2.74132,3.75000,0.00310,0.01000
2.77199,3.76000,0.00310,0.01000
2.79319,3.77000,0.00310,0.01000
2.83632,3.78000,0.00310,0.01000
2.88139,3.79000,0.00310,0.01000
2.91676,3.80000,0.00310,0.01000
2.95342,3.81000,0.00310,0.01000
2.97890,3.82000,0.00310,0.01000